Stars,Description
5.0,"I used to buy Motorola phones because they were the closest to unadorned Android you could get.  Now I buy the Pixel phones and enjoy them.  It always seems to be able to connect even in a rural environment and is a decent performer in terms of speed and cripness of response.  The display is excellent, very sharp."
5.0,"I love this phone - the display is fantastic and very bright.  Easy to see, even in the brightest conditions.  The display is made by Samsung, which makes displays for other brands, including the Apple iPhone  I like the pure Android interface, direct from Google with no manufacturer front-end tweaks.  The battery life is so-so.  This brings me to the only thing I don't like:  there is no automatic battery protection, meaning that it doesn't stop charging until 100%.  My previous phone (a Samsung) had this feature, it could be set to stop charging at 85%, which protects the battery.  I use Battery Alarm PRO as a workaround to alert me when the charging reaches a certain point.  This works fine, but I miss the automatic cutoff.  That being said, I would definitely buy the phone again for its display, camera, and AI features."
4.0,"Diseño maravilloso, la calidad en fotografía en sin duda superior, con un software realmente optimizado, limpio y fluido, pero  no es tan potente y la batería no es suficiente para todo el día. Muchas funciones de IA sin embargo pocas veces se usan, pienso que por un poco menos de dinero seria perfecto."
5.0,"Phone does what phone is supposed to do, I hope the Android 15 addresses many of the bugs experienced with Android 14. Camera is fantastic, performance is okay, for the price I expected the phone to be more snappy, but I like it better than my older pixel phones so that is an improvement."
5.0,"I was kind of forced to upgrade from my Pixel 6 Pro because I dropped it one too many times on the curve, it broke into too many little pieces, and then dropped it again after a few months and the screen flashed brown, still works but not useable. I love that the Pixel 8 Pro can take close up pictures, and doesn't have a curved screen. The curved screen looked nice but it made my phone crack easily, so I'm hoping this phone will last a lot longer than that one did. I'm also happy I got this phone with a discount on here, Verizon sells it at full price, and it came fast."
4.0,"Switched from a Samsung S20FE to the Pixel 8 Pro, 256GB (unlocked). Menues and swipes are a bit different but the transition has not been bad. No issues swapping SIM card with Xfinity service. Data transfer was easy and done wirelessly. The screen is great and camera is top notch, but the camera does protrude from the back about 1/8"" for the lenses. Finger print reader has been good and better than the Samsung which constantly got stuck in touch protection mode. The battery life is so-so for the price, but I have not used the battery optimization yet. It does seem to charge faster than the S20. Still adapting to an all-Google way, so not sure if there is some mild bugginess or user error or both. I also have a '22 Volvo with Google controls. The Pixel seems to interface better with the car than the S20, but I'm still working on getting that all dialed in. I do wish the Pixel had expandable memory. Im guessing the hi-res camera and video can eat up 256GB pretty quicky. I'm sure Google will be happy to store my stuff in the cloud, for yet another small montly fee in my life."
4.0,"I upgraded from the Pixel 6. Aside from the enhanced zoom and magic editor it doesn't feel that much better. Yes, the zoom is awesome, and so is the editor. But, for my purposes, this doesn't feel like enough of a leap forward to merit the 'upgrade'. Don't get me wrong, it's a great phone, but you've got a Pixel 6 or 7, and don't need the 30x zoom or magic editor, it might be worth waiting to see what comes next."
4.0,"Edit:So after a few updates from Google and about 3 months this of use, the Pixel 8 Pro seems to have stabilized. The updates release by Google has resolved the rebooting that used to happen multiple times a day. It now only randomly restarts once every month or so, which is a massive improvement. Other than that, the phone is back to being usable and normal. In terms of the Pixel 8's capabilities, it's a great phone and does what it needs to do, and does so well. It's no Snapdragon 3 but it's more than enough for 95% of tasks.Original Review:It only takes the Pixel 8 Pro to turn excitement into despair. The phone randomly reboots itself multiple times a day for no reason. After going through multiple forums and even Google’s own community channel, it seems like it’s a common problem that the manufacturer either refuses to acknowledge or just doesn’t care about resolving it. For this particular phone of mine, it reboots multiple times a day for no apparent reason and without any indication as to why.My advice… spend your hard earned money elsewhere."
4.0,Quality phone which feels very good in the hand. Very good camera
4.0,"Initially I had trouble with the Wi-Fi, constantly connecting, disconnecting and then not wanting to connect. I discovered that the phone has an issue connecting to Wi-Fi access that are configured 160 MHz wide channels. After reconfiguring my access point to an 80 MHz wide channel the Wi-Fi has worked perfectly. Initially I also had trouble with gestures and had to figure out how to turn on the triangle circle square buttons at the bottom of the screen. I did not find gestures very intuitive or the feature wasn't working as advertised. The battery life is excellent. Much better than my previous Pixel 4XL, I would say about double the life. I need to play around a bit more with the camera to see how well the camera works. The photos I've taken so far have looked very good. Overall I have been pleased with the phone other than the initial issues with the Wi-Fi, which I hope Google resolves with a future update, and my troubles with gestures."
5.0,Received in great condition and working as expected. Very happy with the purchase!
2.0,"Heads up that I am posting this review a fourth time after it was removed by Amazon.  This could mean that the seller is attempting to remove bad reviews of this phone, but I cannot be sure.  Here is the email I received:""Thank you for submitting a review of Google Pixel 8 Pro - Unlocked Android Smartphone with Telephoto Lens and Super Actua Display - 24-Hour Battery - Bay - 512 GB; we are sorry you did not have a positive experience. We investigated your concerns about product authenticity, and the information we have indicates that the product you received was authentic. As a result, we removed the review you submitted. This ensures that customer reviews remain as accurate as possible for the benefit of future customers.""The color range and depth of the Pixel 8 Pro is remarkably bad.  I have seen better screens on $200 phones, and I'm not making knee-jerk exaggerations about it.  I really want to love this phone, and I do love most other aspects of it.  But for some reason, Google decided to put a screen on it that's so bad, I wouldn't trust that I'm taking good photos until I saw them on another phone or a computer display.I understand that this is a bold claim, so let me prove what I'm saying in photos.  In each photo, the Pixel 8 Pro is on the left, and a OnePlus 7t is on the right, both at 100% brightness.  The photos were taken with a OnePlus 8t.  Keep in mind that these are photos of screens, and cameras aren't fully representative of what we see.  Additionally, screens emit some light that gets picked up by cameras that we cannot see, and you (the reader) are looking at these photos through yet another screen.  Regardless, I believe that these photos do a satisfactory job of displaying the the poor color range of the 8 Pro.I included three photos of a website displaying pure primary colors (red, green, and blue), and included one more photo of an image that displays a range of colors.  Both of these phones use OLED displays, so the ""red"" areas contain pixels where only the red subpixels are at 100% brightness, while the blue and green subpixels are fully off, for example.  I verified this on both devices firsthand with a jeweler's loupe, just to be sure.  Primary colors are supposed to be ""pure"" colors, meaning that the ""red"" photo is the phone attempting to produce the most ""red"" color it can, for example.I really don't need to explain much more, since the photos deliver some pretty solid justice.  Notice that the red especially looks like tomato paste on the Pixel 8 Pro while they look like ""pure red"" on the 7t.  And the blues and greens of a ""good"" OLED screen almost look ""fake"" from so much color, but again, this is with the primary subpixels of their respective color on full brightness, so the ""redder"" the red is, the better the color depth of the red is.  Additionally, dark colors on the 8 Pro are much too bright and washed out.Needless to say, it's lousy.  What was Google thinking?  I am so disappointed in the screen, that I'm returning the phone on this basis alone.  I am distracted by the screen quality anytime I use the phone for any occasion.  Returning to my 7t feels like a breath of fresh air.  This screen simply should not be sold on a ~$1k device."
5.0,"Muy bonito y buen telefono, llego en perfectas condiciones y hasta ahora no encuentro fallos en su funcionamiento, esperemos que las actualizaciones duren lo que dicen"
5.0,This phone has been awesome. It has some very unique features that are very helpful. And overall it's been great so far.
4.0,"It's a great phone over all ,however Google and Google assistant, are so incredibly glitchy on here. It's frustrating honestly. I also thought the camera was going to be a lot better. It's still better then the iPhone I had before but I'm not as in love with it as I thought I would be. That is largely because it's not user friendly. I'm pretty savvy tech wise, so that is saying something. The quality is good, not great. I'm still chasing the photo quality of that one Samsung I had back in '08."
5.0,Phone is great and came in great condition.
4.0,"Edit: Once OS optimizations were made (disabling rcs in messages is a big one), battery performance went to about 1 week from last charge. It's becoming less laggy, presumably due to caching.Turn off auto lens selector to improve camera speed from seconds to take a pic, to nanoseconds.-1 star for size.I bought this phone because Google stopped security upgrades for Pixel 4.First thing I noticed is how stuttery and laggy the interface, and the apps are compared to P4. My friends who have P8P also experienced this. Battery life is abysmal, despite having almost double the size battery compared to P4.Camera app is quirky. Taking a photo with flash takes 2-3 seconds, whereas it's instant on P4. Some gimmicky AI features that also take a while to ""process."" Hopefully, this is a software issue, and not poor design. I miss using my Pixel 4...Minor:Size is unwieldy."
4.0,"Face detect great for unlockMany functions which I haven't figured out how to use, and the YouTube tutorials are not very helpful. So I am stuck at a low level of features which the phone offers.This is no my first Pixel phone. I have Pixel 3 and 6 and have been happy with them.On another subject: the battery life is impressive."
5.0,Phone is really good.And it's android it clean without a lot of visual stuff that consumes memory
4.0,"Overall the phone feels very premium, good build quality, a really nice soft-touch glass back and a stunning flat display, phone feels snappy but you can notice lags in some apps (e.g. Telegram, YouTube, VK, etc.) as well as battery drain when on mobile data connection, for example today I got 5:30h of SoT (LTE-only in my case, haven't tested 5G). And the most concerning thing is that the phone is warm to touch even during simplest tasks (messaging, web browsing). Camera features are amazing, I have been using the phone for a week now and still haven't tried a half of all features available :D. Overall rating: 4/5 (deducted for battery life, SoC performance and thermals)"
5.0,"Overall, the Google Pixel 8 Pro stands out as a flagship smartphone that excels in every aspect, from its stunning display and powerful performance to its exceptional camera capabilities and premium design. It's a device that pushes the boundaries of what a smartphone can do, setting a new standard for excellence in the industry."
4.0,"I'm still getting used to the smaller size but I'm enjoying the phone. I bought it for the camera, high resolution screen and the dual sim option. Both the camera and the screen are fantastic!  The dual sim works. I can get calls/texts from both numbers at the same time, but I was hoping I could control calls/texts from the different numbers individually. For example, to turn do not disturb on my work phone while still allowing calls from my personal. Unfortunately it doesn't work like that."
5.0,El mejor teléfono que he tenido.
5.0,"I really like this phone for what it is. Google has been doing a lot with their AI features, and I'm here for it. I'm a tech guy that doesn't buy into the Apple fan club, so Google is the obvious alternative. Samsung is okay, too, but I don't love their bloatware apps.Anyway, the features are nice, and battery life is improved over last gen Pixel. I really really like the satin glass back, compared to last year's glossy finish.I will be honest here, though, if you're already running the 7 Pro, it's likely not worth the upgrade. They didn't change a whole heck of a lot between the two generations from what I can see. Maybe wait and see what they do with the 9 next year."
5.0,"Don't freak out if you see a little hole in the front by the camera you did not break it. Love this phone and the camera on it is amazing!I HAD to snap this sunset because it was unreal!! So this picture was taken while driving and very quickly, yet it came out PERFECT!! I was so happy to capture this"
4.0,The Pixels are great phones but they are not my cup of tea. If you like their feature set then go for it. You won't be disappointed.
3.0,I don't know if I'm just used to Samsung or what but this phone sucks. The battery life is 6 hours tops. (NOT great for traveling!) It's practically impossible to intentionally see all open tabs at once. I just have to keep trying until I accidentally perform whatever magical operation makes it work. I will say the facial recognition unlock is stupid fast and easy. The fingerprint reader does not work in the dark though.I came from a Z Fold 4 that may or may not be repaired. I was told the camera on this phone was exceptional but I have not experienced that yet.  I think I'm going to return this and go back to my old Note 9 until I can afford a Samsung again.
5.0,"I'm really really pleased with the pixel 8 pro.Pros:Battery life, screen, cameras, AI features are out of this world, little extras from Google, ie 6 months of Google 1, seriously the list of pros go on and on... the cameras I have to give another mention to. The stability and quality and features are all superior to any others I've tried.  Even better than my wife's s22+ that cost more.Support was responseive and helpful when I had a setup question via chat.Cons: very picky to find any. Fingerprint unlock is a little weak compared to Samsung flagships. Face unlock seems to turn access to the camera off occasionally. I assume that'll fix in an update but even if not, no biggie.The temperature sensor is almost cool but just comes off too gimmicky. It's not accurate enough for anything serious. I would have rather they put something else here. Like maybe a pulse checker or improved the fingerprint reader with the budget spent on this. These are small complaints though. It's amazing overall."
4.0,"Performance is alright but given the Tensor chip lags behind the latest snapdragon, the price doesn't really make sense. Charging is fast which is to be expected from a flagship, though it will throttle if the battery gets too hot which is good but seems to happen more than other phones I've had in the past. Screen looks lovely and battery life is amazing even when gaming for hours. Sound quality could be better, sounds about what you'd expect from a midrange Samsung device. Lastly the camera is amazing, video recording is clear and stable, call quality crisp, and AI features plentiful.Tldr: if you're just looking to stay snug in the Android ecosystem with guaranteed updates and future hardware support via ifixit, then the pixel is a safe bet. If you are mobile gamer then look elsewhere as the gaming performance is lacking with Tensor 3."
4.0,"Not bad, but far from the iPhone, I'm talking about cameras and performance and battery. But the night photos here are great"
4.0,"My new pixel 8 pro is a great phone. However, it has one ""unAndroid-like"" flaw. The home screen has the day and date in the upper left hand corner which cannot be removed. It is fixed in both size and location. Unfortunately, the size is small. I added a clock widget to the home screen which allows for a larger clock, day and date. Now I have redundancy, which I don't like. Being an Android phone, I would expect to be able to completely modify my home screen.I got a great price on this phone and delivery was flawless. It's all good except for this one frustrating feature."
4.0,I don't use a screen protector so I'm used to minor scratches on the screen. But after 2 months it looks just like my Galaxy s21 I had for almost 3 years. Quite disappointing. Other than that it's a phone 🤷🏾‍♂️
3.0,"I bought this thinking this would be a great purchase for the next years. I was super happy with my previous smart phone (OnePlus 5) and don't feel this Pixel will come as close to the performance i had with the previous one.Cons- Battery lasts day and a half, so that will only decrease. Dont think it will be able to live the 7 year service promised by google.- You can't customise the default launcher- Chunkier than expected. The phone does not have a weigh balance, camara side is way heavier and that makes holding the phone (i.e. video watching) a pain, since your index fingers will hold more weight than your palm/thumb.- Back button does not work properly at times, specially when the phone is lying horizontally- You cant mirror a picture with the default apps.Pros:- Good camara- 7 Year service/update promiseOverall, i would not buy this phone again nor recommend for the price."
5.0,"So far, I love this phone. It has lots of useful new features my Pixel 5 didn't have, a wonderful camera with a 5x optical zoom lens, and an OLED screen that is incredibly bright and clear. It ain't cheap, but it does cost less than some of the other high-end phones out there. I am not a fan of Apple, and prefer Android phones. So this one fits the bill. If it proves to be sturdy and lasts several years, I will be totally satisfied."
5.0,"Pros:- super bright and vibrant screen, smooth scrolling and effects are very pleasant- photo and video is amazing (given the existing optics). My wife's iPhone 15 Pro Max takes rest when we both are getting out- I love the design and flat(finally), with smooth edges screen. Using dbrand micro grip case with it- Holiday prices are unbeatable. Got 1TB version with 200 bucks of MSRP- Pure Linux experience w/o add ons.Cons:- They could have drop off the SIM slot and added battery capacity, to extend battery life by 20% or even more- Still using Samsung chip aka ""Tensor"". It drains more power, but given the extended and speedy RAM, the Linux (that's what Android is) is still slow- GPU drivers glitches cause some delays during transformations. Especially seen during AutorotationOther thoughts:I hooked up on Pixel 8 Pro. It was the love from the first sight. The best phone you can get for money."
5.0,"This replaces a Pixel 6 Pro and it's a very nice upgrade. The performance has been excellent. I'm not one to run benchmarking tests so my impression is based on normal usage, and I find the performance to be snappy and smooth. The screen is outstanding -- bright and clear, and readable even in direct sunlight (unlike my past Pixel phones).While the hardware specs, the cameras and the AI features are important, what sealed the deal for me was Google's support for Android and security updates for 7 years. I expect to keep this phone for some time, and the extended support/update window is a real plus that adds value.So far zero problems. 100% satisfied with the phone -- five stars."
4.0,"Everything great about the phone, but I wish the phone case had a grippy textured surface. I really didn't want a case, but kept slipping from my pocket and hand. I'm ready on my phones and don't like cases. Regrettably had to get a case which makes it much thicker."
5.0,Great camera and not too heavy.
5.0,
5.0,"It's a beautiful phone, good price and what I wanted."
5.0,"Gran equipo, la mejor cámara del mercado por lejos, muy fluido y gran diseño"
4.0,I used to use this phone with no issue
4.0,"It’s a good product, but compared with iPhone, a little heavier difficult to use at beginning."
5.0,Love this Smartphone. It is truly smart. Screen is super!Google One VPN is worth the small yearly cost!I have not had it long but I am very happy I chose it.Fantastic 30X Zoom! Four cameras!Too many features to learn all at once. New free ones in the works.support.google.com/pixelphone/ is excellent. Better than most by a long shot.Google has already sent a couple of free updates.Google supports the Smartphone for seven years.
3.0,"Los efectos de propaganda no son tan pros en realidad.Voice Google no funciona también como debería por ser de última generación y de Google.La cámara super desprotegida.Nada de espacio en la pantalla principal, te obliga a tener la barra de búsqueda de Google y el clima siempre."
3.0,"It's ok. Took absolutely forever to transfer everything from my pixel 7 to this 8 pro. Literal hours. That's the biggest annoyance with h android ( life long iPhone user before this) updates take forever and so does transfers even pixel to pixel. And the settings say 60-120hz. Not 1-120hz like advertised. Also I went to use the photo editor features this photo was advertised with and it says ""some editing tools need to o be installed. Connect to WiFi to start installing"" so I had to wait hours before even being able to use the few features of the 8 series.Overall just a very second class experience coming from an iPhone in my opinion. Google just gives half effort again and again. Finger print reader is also hit or miss as well.-STILL GETS REALLY HOT-FINGERPRINT READER IS HIT OR MISS-FACE UNLOCK DOSNT WORK IN ANY LOW LIGHT SITUATIONNOT WORTH THE FULL MSRP NOT EVEN CLOSEWAIT FOR THIS  TO GO ON SALE BEFORE BUYING. DO NOT PAY FULL PRICE FOR THIS PHONE."
5.0,"For the last three years I been using iPhone and not liking them too much. Yes they're very premium and fast but the Os lack the customizing options to truly make you feel like the phone you bought is you own. Once I learned that google was about to launch the pixel 8 pro and the new color Bay, I told myself this is my chance to make the switch and boy the Bay version is really a thing of beauty. Performance in everyday tasks are fast and smooth( except for gaming in 3d). I am not much of a camera guy but this device does blow my 13 pro max out the water. Battery life been very good for me. Yes I do charge it twice a day to close  full charge but there are days that I'll forget to bring a charger with me and the phone still lasted till the end of the day with at least 30% left. This device might not be for those that like to have insane screen on time or "" power users"". Over all this is my ideal device. The snappy Os and built quality/device color really is top notch. I really like my purchase!"
5.0,"IMO it's the best phone available. Most new phones don't bring too much innovation to the table, but this phone does with all its AI features. I've been using it for three months now and I couldn't be more happy.I super love the AI features for the photos."
